time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.298694,-0.0051,-0.0015,-0.0008,0.005
2.315542,-0.0002,0.0173,-0.0055,0.018
2.316248,-0.0002,-0.0160,-0.0244,0.029
2.316469,-0.0049,-0.0064,-0.0005,0.008
2.317965,0.0142,0.0173,0.0090,0.024
2.322744,0.0140,0.0125,0.0184,0.026
2.327938,-0.0003,0.0078,-0.0007,0.008
2.333222,-0.0241,0.0076,-0.0150,0.029
2.338211,-0.0049,0.0028,0.0089,0.011
2.342927,0.0047,-0.0020,0.0231,0.024
2.348225,0.0143,0.0075,0.0039,0.017
2.352772,0.0142,0.0122,-0.0056,0.020
2.357682,0.0141,0.0074,-0.0056,0.017
2.362732,0.0093,0.0072,-0.0055,0.013
2.367637,0.0140,0.0071,-0.0102,0.019
2.374193,-0.0051,0.0023,-0.0244,0.025
2.377842,-0.0147,0.0119,-0.0100,0.021
2.382897,-0.0050,-0.0262,-0.0004,0.027
2.387838,0.0045,0.0073,0.0091,0.013
2.395415,0.0043,-0.0021,-0.0005,0.005
2.397704,0.0091,0.0122,0.0090,0.018
2.416801,0.0139,0.0026,0.0042,0.015
2.417347,-0.0195,-0.0166,-0.0053,0.026
2.417539,0.0042,-0.0023,-0.0100,0.011
2.417685,0.0136,0.0073,-0.0052,0.016
2.422396,-0.0055,-0.0069,-0.0194,0.021
2.427428,0.0183,-0.0211,-0.0097,0.030
2.432596,0.0134,-0.0019,-0.0096,0.017
2.437624,0.0085,-0.0112,0.0047,0.015
2.443177,0.0131,0.0268,-0.0049,0.030
2.447774,0.0082,-0.0162,0.0094,0.020
2.452568,-0.0015,-0.0206,0.0331,0.039
2.457794,0.0081,-0.0205,-0.0194,0.029
2.462857,-0.0157,0.0035,-0.0193,0.025
2.467887,0.0034,-0.0013,0.0046,0.006
2.472588,-0.0158,-0.0014,0.0046,0.016
2.477699,-0.0013,0.0033,0.0046,0.006
2.483092,0.0319,0.0129,0.0235,0.042
2.488007,0.0031,-0.0206,0.0043,0.021
2.496288,-0.0065,-0.0157,0.0090,0.019
2.498856,-0.0205,-0.0013,-0.0005,0.021
2.520002,0.0319,0.0034,0.0090,0.033
2.520672,-0.0111,0.0034,-0.0196,0.023
2.520957,-0.0015,-0.0014,-0.0147,0.015
2.521219,-0.0158,0.0033,0.0092,0.019
2.522539,0.0129,0.0080,0.0044,0.016
2.527848,-0.0014,-0.0157,-0.0147,0.022
2.532567,-0.0061,-0.0156,-0.0288,0.033
2.537480,-0.0062,0.0083,0.0047,0.011
2.543024,0.0034,-0.0108,-0.0096,0.015
2.548043,-0.0109,-0.0012,0.0142,0.018
2.552184,0.0175,-0.0012,0.0094,0.020
2.557993,0.0030,0.0035,0.0330,0.033
2.563149,0.0077,0.0084,0.0043,0.012
2.568143,-0.0065,0.0035,0.0090,0.012
2.572284,0.0269,0.0080,-0.0101,0.030
2.577144,-0.0159,-0.0062,0.0137,0.022
2.582511,-0.0112,-0.0061,0.0041,0.013
2.587606,-0.0017,0.0034,0.0041,0.006
2.597302,-0.0205,0.0176,0.0183,0.033
2.597868,0.0084,-0.0016,-0.0008,0.009
2.617895,-0.0013,-0.0016,0.0134,0.014
2.618383,0.0178,-0.0159,-0.0057,0.025
2.618563,-0.0063,-0.0110,0.0086,0.015
2.618742,-0.0063,-0.0204,-0.0152,0.026
2.622266,0.0081,-0.0107,-0.0056,0.015
2.627138,0.0175,0.0082,-0.0245,0.031
2.632360,-0.0159,-0.0157,-0.0053,0.023
2.637295,-0.0015,0.0033,0.0090,0.010
2.642258,-0.0014,0.0031,-0.0006,0.003
2.647191,-0.0015,0.0174,-0.0244,0.030
2.652118,-0.0016,-0.0254,0.0186,0.032
2.657698,-0.0110,-0.0110,-0.0053,0.016
2.662265,0.0080,0.0081,0.0232,0.026
2.667162,-0.0251,-0.0157,0.0040,0.030
2.672299,-0.0058,0.0082,-0.0197,0.022
2.677113,-0.0010,-0.0014,0.0089,0.009
